 398291750,"00009M12:31:12.796","00009 13:05:44",    UNK,    UNK,    UNK,"     UNK", 278.37,   4.93,   0.55,"    0111", 258.71,"101XX001", 251.99,"101XX111", 251.99,"   101XX1101",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.21, 254.17,   2.00,  328.97,   NULL,"     0X1","2H", 714.50,   2.70,"      11"
 398291751,"00009M12:31:13.769","00009 13:05:45",    UNK,    UNK,    UNK,"     UNK", 278.41,   4.94,   0.55,"    0111", 258.78,"101XX001", 252.06,"101XX111", 252.06,"   101XX1101",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.21, 254.18,   2.00,  329.04,   NULL,"     0X1","2H", 714.49,   2.70,"      11"
 398291752,"00009M12:31:14.742","00009 13:05:46",    UNK,    UNK,    UNK,"     UNK", 279.89,   4.96,   0.56,"    0111", 258.83,"101XX001", 252.11,"101XX111", 252.11,"   101XX1101",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.20, 254.20,   2.00,  314.39,   NULL,"     0X1","2H", 714.43,   2.70,"      11"
 398291753,"00009M12:31:15.716","00009 13:05:47",    UNK,    UNK,    UNK,"     UNK", 275.82,   4.94,   0.54,"    0111", 258.88,"101XX001", 252.16,"101XX111", 252.16,"   101XX1111",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.22, 254.20,   2.00,  344.22,   NULL,"     0X1","2H", 714.43,   2.70,"      11"
 398291754,"00009M12:31:16.689","00009 13:05:48",    UNK,    UNK,    UNK,"     UNK", 277.56,   4.95,   0.55,"    0111", 258.92,"101XX001", 252.21,"101XX111", 252.21,"   101XX1111",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.22, 254.22,   2.00,  346.19,   NULL,"     0X1","2H", 714.52,   2.70,"      11"
 398291755,"00009M12:31:17.662","00009 13:05:49",    UNK,    UNK,    UNK,"     UNK", 276.64,   4.92,   0.54,"    0111", 258.95,"101XX001", 252.24,"101XX111", 252.24,"   101XX1111",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.22, 254.23,   2.00,  350.45,   NULL,"     0X1","2H", 714.46,   2.70,"      11"
 398291756,"00009M12:31:18.635","00009 13:05:50",    UNK,    UNK,    UNK,"     UNK", 278.34,   4.93,   0.55,"    0111", 258.98,"101XX001", 252.27,"101XX111", 252.27,"   101XX1111",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.18, 254.25,   2.00,  290.49,   NULL,"     0X1","2H", 714.52,   2.70,"      11"
 398291757,"00009M12:31:19.609","00009 13:05:51",    UNK,    UNK,    UNK,"     UNK", 277.73,   4.93,   0.55,"    0111", 259.01,"101XX001", 252.29,"101XX111", 252.29,"   101XX1111",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.22, 254.25,   2.00,  351.44,   NULL,"     0X1","2H", 714.48,   2.70,"      11"
 398291758,"00009M12:31:20.582","00009 13:05:52",    UNK,    UNK,    UNK,"     UNK", 276.83,   4.94,   0.54,"    0111", 259.05,"101XX001", 252.31,"101XX111", 252.31,"   101XX1111",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.21, 254.27,   2.00,  338.85,   NULL,"     0X1","2H", 714.51,   2.70,"      11"
 398291759,"00009M12:31:21.555","00009 13:05:53",    UNK,    UNK,    UNK,"     UNK", 277.90,   4.93,   0.55,"    0111", 259.09,"101XX001", 252.32,"101XX111", 252.32,"   101XX1111",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.21, 254.28,   2.00,  337.98,   NULL,"     0X1","2H", 714.47,   2.70,"      11"
 398291760,"00009M12:31:22.528","00009 13:05:54",    UNK,    UNK,    UNK,"     UNK", 278.83,   4.96,   0.56,"    0111", 259.12,"101XX001", 252.34,"101XX111", 252.34,"   101XX1111",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.18, 254.30,   2.00,  284.25,   NULL,"     0X1","2H", 714.52,   2.70,"      11"
 398291761,"00009M12:31:23.502","00009 13:05:55",    UNK,    UNK,    UNK,"     UNK", 279.66,   4.95,   0.56,"    0111", 259.16,"101XX001", 252.38,"101XX111", 252.38,"   101XX1111",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.21, 254.30,   2.00,  341.66,   NULL,"     0X1","2H", 714.46,   2.70,"      11"
 398291762,"00009M12:31:24.475","00009 13:05:56",    UNK,    UNK,    UNK,"     UNK", 278.08,   4.94,   0.55,"    0111", 259.20,"101XX001", 252.43,"101XX111", 252.43,"   101XX1111",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.20, 254.31,   2.00,  316.20,   NULL,"     0X1","2H", 714.42,   2.70,"      11"
 398291763,"00009M12:31:25.448","00009 13:05:57",    UNK,    UNK,    UNK,"     UNK", 278.50,   4.96,   0.55,"    0111", 259.25,"101XX001", 252.48,"101XX111", 252.48,"   101XX1101",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.19, 254.32,   2.00,  303.76,   NULL,"     0X1","2H", 714.46,   2.70,"      11"
 398291764,"00009M12:31:26.421","00009 13:05:58",    UNK,    UNK,    UNK,"     UNK", 277.73,   4.94,   0.55,"    0111", 259.30,"101XX001", 252.53,"101XX111", 252.53,"   101XX1101",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.18, 254.34,   2.00,  292.49,   NULL,"     0X1","2H", 714.34,   2.70,"      11"
 398291765,"00009M12:31:27.395","00009 13:05:59",    UNK,    UNK,    UNK,"     UNK", 278.24,   4.96,   0.55,"    0111", 259.35,"101XX001", 252.60,"101XX111", 252.60,"   101XX1101",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.18, 254.35,   2.00,  294.21,   NULL,"     0X1","2H", 714.37,   2.70,"      11"
 398291766,"00009M12:31:28.368","00009 13:05:59",    UNK,    UNK,    UNK,"     UNK", 276.32,   4.95,   0.54,"    0111", 259.41,"101XX001", 252.66,"101XX111", 252.66,"   101XX1101",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.19, 254.36,   2.00,  301.22,   NULL,"     0X1","2H", 714.42,   2.70,"      11"
 398291767,"00009M12:31:29.341","00009 13:06:00",    UNK,    UNK,    UNK,"     UNK", 279.18,   4.95,   0.56,"    0111", 259.47,"101XX001", 252.73,"101XX111", 252.73,"   101XX1101",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.19, 254.37,   2.00,  306.27,   NULL,"     0X1","2H", 714.44,   2.70,"      11"
 398291768,"00009M12:31:30.314","00009 13:06:01",    UNK,    UNK,    UNK,"     UNK", 277.45,   4.94,   0.55,"    0111", 259.54,"101XX001", 252.80,"101XX111", 252.80,"   101XX1101",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.19, 254.38,   2.00,  303.62,   NULL,"     0X1","2H", 714.40,   2.70,"      11"
 398291769,"00009M12:31:31.288","00009 13:06:02",    UNK,    UNK,    UNK,"     UNK", 278.07,   4.94,   0.55,"    0111", 259.60,"101XX001", 252.88,"101XX111", 252.88,"   101XX1101",    UNK,    UNK,    UNK,    UNK,    UNK,    UNK,  10.00,  10.00,  10.00,  10.00,  10.00,  10.00,"     UNK",   0.19, 254.39,   2.00,  315.09,   NULL,"     0X1","2H", 714.42,   2.70,"      11"
