 398423027,"00011M00:00:38.572","00011 00:35:23",   1.00                                                                                              
 398423132,"00011M00:02:20.764","00011 00:37:05",  46.52, 165.21,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423133,"00011M00:02:21.737","00011 00:37:06",  46.51, 165.21,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423134,"00011M00:02:22.711","00011 00:37:07",  46.50, 165.21,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423135,"00011M00:02:23.684","00011 00:37:08",  46.50, 165.20,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423136,"00011M00:02:24.657","00011 00:37:09",  46.49, 165.20,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423137,"00011M00:02:25.630","00011 00:37:10",  46.48, 165.20,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423138,"00011M00:02:26.604","00011 00:37:11",  46.48, 165.19,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423139,"00011M00:02:27.577","00011 00:37:12",  46.47, 165.19,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423140,"00011M00:02:28.550","00011 00:37:13",  46.46, 165.18,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423141,"00011M00:02:29.523","00011 00:37:14",  46.46, 165.18,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423142,"00011M00:02:30.497","00011 00:37:15",  46.45, 165.18,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423143,"00011M00:02:31.470","00011 00:37:16",  46.45, 165.17,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
 398423144,"00011M00:02:32.443","00011 00:37:17",  46.44, 165.17,     0.00,     0.00,     0.00,   0.00,  -3.62, 111.52,  -2.42,-179.00,  43.00,"1","0"
